Date,Time,Open,High,Low,Close,Volume,SMA9,SMA21,SMA220
2024-10-29,05:30:00,20517.5,20519.5,20490.75,20507.5,2760,20526.1666666667,20511.7619047619,20527.3141025641
2024-10-29,06:00:00,20507.5,20520.75,20500.5,20513.25,2114,20525.0833333333,20511.6428571429,20527.1949152542
2024-10-29,06:30:00,20513.25,20515.5,20482.25,20490,4709,20519.0555555556,20510.5357142857,20526.8823529412
2024-10-29,07:00:00,20489,20517.25,20486.25,20494.25,3802,20512.6944444444,20509.5238095238,20526.6104166667
2024-10-29,07:30:00,20493.5,20499,20461,20493.75,7351,20508.9166666667,20508.9166666667,20526.3388429752
2024-10-29,08:00:00,20493.25,20503.75,20483.5,20488,4294,20504.75,20508.1785714286,20526.0245901639
2024-10-29,08:30:00,20489.25,20513,20485.5,20510.75,7590,20503.0555555556,20508.6428571429,20525.9004065041
2024-10-29,09:00:00,20511,20526.5,20432.25,20514.25,52513,20503.1944444444,20509.0238095238,20525.8064516129
2024-10-29,09:30:00,20515,20603,20494.75,20543.25,48625,20506.1111111111,20512.9166666667,20525.946
2024-10-29,10:00:00,20543.75,20604,20542,20599.75,31371,20516.3611111111,20518.2380952381,20526.5317460317
2024-10-29,10:30:00,20599.5,20609,20571,20597.75,26789,20525.75,20523.2738095238,20527.092519685
2024-10-29,11:00:00,20597.75,20625.25,20580.25,20621.5,24567,20540.3611111111,20529,20527.830078125
2024-10-29,11:30:00,20622,20644.5,20610.25,20615,25051,20553.7777777778,20534.1428571429,20528.5058139535
2024-10-29,12:00:00,20615.25,20658.25,20585.25,20648.75,25722,20571,20540.130952381,20529.4307692308
2024-10-29,12:30:00,20648.25,20688,20647.5,20665.25,26738,20590.6944444444,20545.8928571429,20530.4675572519
2024-10-29,13:00:00,20665.25,20684.25,20656,20672,17033,20608.6111111111,20551.630952381,20531.5397727273
2024-10-29,13:30:00,20672.25,20698,20660,20696.5,15629,20628.8611111111,20559.6666666667,20532.780075188
2024-10-29,14:00:00,20696.5,20714.5,20691.75,20695.25,17776,20645.75,20567.75,20533.9925373134
2024-10-29,14:30:00,20694.75,20746.5,20693,20742,23623,20661.5555555556,20578.0357142857,20535.5333333333
2024-10-29,15:00:00,20742,20746.25,20681.75,20695,39114,20672.3611111111,20586.7023809524,20536.7058823529
2024-10-29,15:30:00,20695,20760.25,20688.75,20715.75,22929,20682.8333333333,20596.1666666667,20538.0127737226
2024-10-29,16:00:00,20716,20718,20700.75,20708.25,3357,20693.1944444444,20605.7261904762,20539.2463768116
2024-10-29,17:30:00,20734,20739.5,20719,20736,2317,20702.8888888889,20616.3333333333,20540.6618705036
2024-10-29,18:00:00,20735.5,20763,20734.25,20752.75,2653,20712.6111111111,20628.8452380952,20542.1767857143
2024-10-29,18:30:00,20752,20753.75,20728,20749,2359,20721.1666666667,20640.9761904762,20543.6436170213
2024-10-29,19:00:00,20748.5,20755.25,20739,20749,1624,20727,20653.130952381,20545.0897887324
2024-10-29,19:30:00,20748.75,20763.5,20741,20758.75,2043,20734.0555555556,20666.0238095238,20546.5839160839
2024-10-29,20:00:00,20759.75,20774.25,20756.25,20767.75,2349,20736.9166666667,20678.2619047619,20548.1197916667
2024-10-29,20:30:00,20767,20779.5,20754.75,20774.25,2079,20745.7222222222,20690.6428571429,20549.6793103448
2024-10-29,21:00:00,20774.5,20788.5,20774.5,20782.5,2121,20753.1388888889,20702.0357142857,20551.2739726027
2024-10-29,21:30:00,20782.75,20784.25,20772.5,20774,1576,20760.4444444444,20710.3333333333,20552.7891156463
2024-10-29,22:00:00,20773.5,20775,20753.25,20758.75,2237,20762.9722222222,20718,20554.1807432432
2024-10-29,22:30:00,20758.75,20763.25,20736.5,20738,2638,20761.3333333333,20723.5476190476,20555.4144295302
2024-10-29,23:00:00,20737,20741.75,20721.25,20729.5,2455,20759.1666666667,20729,20556.575
2024-10-29,23:30:00,20728.5,20731.25,20713.75,20721.75,1923,20756.1388888889,20732.4761904762,20557.6688741722
2024-10-30,00:00:00,20722,20731.5,20718.75,20721,1115,20751.9444444444,20735.130952381,20558.7434210526
2024-10-30,00:30:00,20720.5,20731.25,20715.25,20721.25,1255,20746.7777777778,20737.4761904762,20559.8055555556
2024-10-30,01:00:00,20720.75,20723.5,20702.5,20713.25,1690,20740,20738.2738095238,20560.801948052
2024-10-30,01:30:00,20712.75,20744.5,20706.25,20744.5,2260,20735.7777777778,20740.6190476191,20561.9870967742
2024-10-30,02:00:00,20743.75,20750,20740.75,20746.25,1234,20732.6944444444,20740.8214285714,20563.1682692308
2024-10-30,02:30:00,20746.25,20760.75,20737,20752,2953,20731.9444444444,20743.5357142857,20564.3710191083
2024-10-30,03:00:00,20752,20759.25,20743,20744,1836,20732.6111111111,20744.880952381,20565.5079113924
2024-10-30,03:30:00,20744.5,20765,20724.5,20751,4523,20735,20746.9166666667,20566.6745283019
2024-10-30,04:00:00,20752.5,20752.75,20712.75,20722.5,3207,20735.0833333333,20746.2738095238,20567.6484375
2024-10-30,04:30:00,20722,20746.5,20709,20746.25,3635,20737.8888888889,20745.9642857143,20568.7577639752
2024-10-30,05:00:00,20745.5,20750.75,20728.25,20730.75,2296,20738.9444444444,20745.0952380952,20569.7577160494
2024-10-30,05:30:00,20730.5,20739.25,20718.25,20739.25,2012,20741.8333333333,20744.630952381,20570.7975460123
2024-10-30,06:00:00,20738.75,20739.5,20718.75,20733.5,4213,20740.6111111111,20743.4285714286,20571.7896341463
2024-10-30,06:30:00,20734.5,20754.5,20725.25,20739.75,3294,20739.8888888889,20742.0952380952,20572.8075757576
2024-10-30,07:00:00,20740.25,20745.25,20712.5,20714.75,3592,20735.75,20739.2619047619,20573.6626506024
2024-10-30,07:30:00,20714.5,20734.5,20698.5,20711.75,6501,20732.1666666667,20735.8928571429,20574.4895209581
